cve_id,descripcion,fecha_publicacion,origen,number,title,state,url,description,labels,created_at,updated_at,closed_at,user,descripcion_limpia,etiqueta
CVE-2024-5531,"The Ocean Extra plugin for WordPress is vulnerable to Stored Cross-Site Scripting via the Flickr widget in all versions up to, and including, 2.2.8 due to insufficient input sanitization and output escaping on user supplied attributes. This makes it possible for authenticated attackers, with contributor-level access and above, to inject arbitrary web scripts in pages that will execute whenever a user accesses an injected page.",2024-06-11T08:32:39.244Z,cve,,,,,,,,,,,,1
CVE-2024-6618,"In Ocean Data Systems Dream Report, a path traversal vulnerability could allow an attacker to perform remote code execution through the injection of a malicious dynamic-link library (DLL).",2024-08-13T16:37:41.654Z,cve,,,,,,,,,,,,1
CVE-2024-6619,"In Ocean Data Systems Dream Report, an incorrect permission vulnerability could allow a local unprivileged attacker to escalate their privileges and could cause a denial-of-service.",2024-08-13T16:41:03.858Z,cve,,,,,,,,,,,,1
,,,issue,3906.0,Avoid short-cycled condition,closed,https://github.com/cp2k/cp2k/pull/3906,,[],2025-01-27T15:31:05Z,2025-01-27T16:39:14Z,2025-01-27T16:39:14Z,hfp,,0
,,,issue,3905.0,Extend Toolchain/CMake build script (no container),open,https://github.com/cp2k/cp2k/pull/3905,,[],2025-01-27T15:13:53Z,2025-01-27T15:13:53Z,,mkrack,,0
,,,issue,3904.0,DBM: removed unnecessary hyper-parameters,open,https://github.com/cp2k/cp2k/pull/3904,- Fixes #3901.,[],2025-01-27T13:28:11Z,2025-01-27T13:31:54Z,,hfp,fixes,0
,,,issue,3903.0,"Revert ""DBM: removed unnecessary hyper-parameters""",closed,https://github.com/cp2k/cp2k/pull/3903,Reverts cp2k/cp2k#3901,[],2025-01-27T12:48:09Z,2025-01-27T13:13:51Z,2025-01-27T13:13:51Z,hfp,reverts cpkcpk,0
,,,issue,3902.0,CP2K_USE_PW_GPU broken on AMD GPUs with > 1 MPI rank per device,open,https://github.com/cp2k/cp2k/issues/3902,"When running CP2K on AMD GPUs (Mi250x and Mi300a) with multiple MPI ranks per GPU, the numerics are not guaranteed to be correct. The symptoms are inconsistent total energies, and sometimes Cholesky decomposition failure. This happens with well tested input files taken from the `benchmarks` directory of CP2K.

This issue does not occur when running a single MPI rank per GPU. I have narrowed it down to the `CP2K_USE_PW_GPU` compilation flag. When compiling without it, CP2K behaves consistently and correctly again. ",['bug'],2025-01-27T11:55:03Z,2025-01-27T16:52:33Z,,abussy,running cpk amd gpus mix mia multiple mpi ranks per gpu numerics guaranteed correct symptoms inconsistent total energies sometimes cholesky decomposition failure happens well tested input files taken benchmarks directory cpk issue occur running single mpi rank per gpu narrowed cpkusepwgpu compilation flag compiling without cpk behaves consistently correctly,0
,,,issue,3901.0,DBM: removed unnecessary hyper-parameters,closed,https://github.com/cp2k/cp2k/pull/3901,"- Removed INITIAL_NBLOCKS_ALLOCATED and INITIAL_DATA_ALLOCATED.
- Both allocations are handled by buffer-growth routine.",[],2025-01-27T08:10:25Z,2025-01-27T12:47:27Z,2025-01-27T09:03:44Z,hfp,removed initialnblocksallocated initialdataallocated allocations handled buffergrowth routine,0
,,,issue,3900.0,Docker: Fix OpenMP performance test,closed,https://github.com/cp2k/cp2k/pull/3900,A follow up to #3840.,[],2025-01-26T12:02:24Z,2025-01-26T12:55:52Z,2025-01-26T12:55:52Z,oschuett,follow,0
,,,issue,3899.0,PAO: Fix conventions,closed,https://github.com/cp2k/cp2k/pull/3899,Follow up for #3896.,[],2025-01-26T11:36:38Z,2025-01-26T11:59:48Z,2025-01-26T11:59:48Z,oschuett,follow,0
,,,issue,3898.0,Torch: Fix build without libtorch,closed,https://github.com/cp2k/cp2k/pull/3898,Follow up for #3896.,[],2025-01-25T16:59:03Z,2025-01-25T17:26:17Z,2025-01-25T17:26:17Z,oschuett,follow,0
,,,issue,3897.0,Enable more dependencies in CMake psmp CI build (toolchain),closed,https://github.com/cp2k/cp2k/pull/3897,,[],2025-01-25T16:03:00Z,2025-01-25T17:50:39Z,2025-01-25T17:50:39Z,RMeli,,0
,,,issue,3896.0,PAO: Add forces for equivariant PyTorch models,closed,https://github.com/cp2k/cp2k/pull/3896,,[],2025-01-25T14:37:25Z,2025-01-25T15:31:52Z,2025-01-25T15:31:52Z,oschuett,,0
,,,issue,3895.0,Simple Toolchain/CMake build script (no container),closed,https://github.com/cp2k/cp2k/pull/3895,,[],2025-01-25T13:32:32Z,2025-01-27T08:29:31Z,2025-01-27T08:29:31Z,mkrack,,0
,,,issue,3894.0,Revise ELPA search paths,closed,https://github.com/cp2k/cp2k/pull/3894,,[],2025-01-25T10:38:04Z,2025-01-25T11:13:54Z,2025-01-25T11:13:53Z,mkrack,,0
,,,issue,3893.0,Upgrade to DeePMD 3.0.1 and switch to PyTorch backend,closed,https://github.com/cp2k/cp2k/pull/3893,,[],2025-01-24T21:44:18Z,2025-01-25T13:17:10Z,2025-01-25T13:17:10Z,oschuett,,0
,,,issue,3892.0,Minor fixes for toolchain/cmake build,closed,https://github.com/cp2k/cp2k/pull/3892,,[],2025-01-24T17:33:03Z,2025-01-24T21:23:43Z,2025-01-24T21:23:43Z,mkrack,,0
,,,issue,3891.0,Prepare for External method response forces,closed,https://github.com/cp2k/cp2k/pull/3891,,[],2025-01-24T14:56:30Z,2025-01-24T15:45:44Z,2025-01-24T15:45:43Z,juerghutter,,0
,,,issue,3890.0,DBM: MAX_BATCH_SIZE 10000 -> 30000,closed,https://github.com/cp2k/cp2k/pull/3890,"- INITIAL_NBLOCKS_ALLOCATED/INITIAL_DATA_ALLOCATED can be zero.
- MAX_BATCH_SIZE tuned on CPUs assuming GPUs benefit even more.
  - Both mp_sync and mp_waitall_2 decreased.
  - Of course, dbm_multiply decreased.
- Driver/Makefile/HIP: missing object file/compilation.",[],2025-01-24T14:49:57Z,2025-01-27T07:49:47Z,2025-01-27T07:49:47Z,hfp,initialnblocksallocatedinitialdataallocated zero maxbatchsize tuned cpus assuming gpus benefit even mpsync mpwaitall decreased course dbmmultiply decreased drivermakefilehip missing object filecompilation,0
,,,issue,3889.0,build_dbcsr: account for removed script,closed,https://github.com/cp2k/cp2k/pull/3889,"- Fixed regenerating kernel parameters (OpenCL).
- Script acc_makedep.sh was removed from DBCSR.",[],2025-01-24T14:36:32Z,2025-01-24T15:02:10Z,2025-01-24T15:02:09Z,hfp,fixed regenerating kernel parameters opencl script accmakedepsh removed dbcsr,0
,,,issue,3888.0,Toolchain: improve ScaLAPACK recipe,open,https://github.com/cp2k/cp2k/issues/3888,"* Ensure BLAS and LAPACK are used as configured `cmake [...] -DLAPACK_LIBRARIES=... -DBLAS_LIBRARIES=.. [...]`
  - The CMake recipe may prefer BLAS and LAPACK if found in standard locations like `/usr`.
* Update to ScaLAPACK 2.2.2",[],2025-01-24T13:19:57Z,2025-01-24T13:19:57Z,,hfp,ensure blas lapack used configured cmake dlapacklibraries dblaslibraries cmake recipe may prefer blas lapack found standard locations like usr update scalapack,0
,,,issue,3887.0,Units of Wannier spreading,open,https://github.com/cp2k/cp2k/issues/3887,"Dear CP2K community,

This question might be a duplicate of the discussion here: https://groups.google.com/g/cp2k/c/gx-_qPP2Vdw.

Based on Prof. Hutter's @juerghutter response in that thread (and the code snippet he provided) as well as the equation from https://doi.org/10.1103/PhysRevB.61.10040, the spread appears to be unitless and needs to be rescaled by the box length. 
However, when I tried varying the cell size, the spread did not change.

Additionally, I tried with both ang and Bohr units and compared the spread to the electron density, but neither of them seems to match. I suspect there is some constant or scaling factor I might be overlooking.

Could anyone provide clarification or point me in the right direction?
 ",[],2025-01-24T06:26:49Z,2025-01-24T06:32:41Z,,xzbian,dear cpk community question might duplicate discussion based prof hutters juerghutter response thread code snippet provided well equation spread appears unitless needs rescaled box length however tried varying cell size spread change additionally tried ang bohr units compared spread electron density neither seems match suspect constant scaling factor might overlooking could anyone provide clarification point right direction,0
,,,issue,3886.0,improve warning message: no k-points for tddft,closed,https://github.com/cp2k/cp2k/pull/3886,,[],2025-01-23T10:36:51Z,2025-01-23T13:19:27Z,2025-01-23T13:19:26Z,BelizSertcan,,0
,,,issue,3885.0,Regtest stabilized,closed,https://github.com/cp2k/cp2k/pull/3885,,[],2025-01-23T09:27:31Z,2025-01-23T10:03:20Z,2025-01-23T10:03:19Z,juerghutter,,0
,,,issue,3884.0,Unix socket interface with i-PI not working in versions >= 2024.1,open,https://github.com/cp2k/cp2k/issues/3884,"I tried to run simulations with i-PI and using CP2K as the force client and ran into problems with the newest versions. For 2024.1, I tried both a local cluster parallel build module and the available precompiled binary, for 2025.1 only the precompiled binary. All lead to the same error
`Error opening UNIX socket: path unavailable, or already existing: No such file or directory`; running the same input files with CP2K version 9.1 works smoothly.

I put together a MWE of a single water molecule simulation at a DFTB level that reproduces the error. The CP2K input is as follows:
```
&GLOBAL
  PROJECT water
  PREFERRED_FFT_LIBRARY FFTW
  FFTW_PLAN_TYPE MEASURE
  RUN_TYPE DRIVER
  PRINT_LEVEL LOW
&END GLOBAL

&FORCE_EVAL
  &DFT
    CHARGE 0
    &QS
      METHOD DFTB
      &DFTB
        DIAGONAL_DFTB3
        HB_SR_GAMMA
        &PARAMETER
          PARAM_FILE_PATH 3ob-3-1
          PARAM_FILE_NAME scc_parameter
          HB_SR_PARAM 4.0
        &END PARAMETER
      &END DFTB
      EXTRAPOLATION_ORDER 3
    &END QS
    &SCF
      MAX_SCF 200
      EPS_SCF 1.0E-7
      SCF_GUESS ATOMIC
      &MIXING
      &END
      &PRINT
        &RESTART OFF
        &END RESTART
      &END PRINT
    &END SCF
    &POISSON
      PERIODIC NONE
      POISSON_SOLVER WAVELET
    &END POISSON
  &END DFT
  &SUBSYS
    &TOPOLOGY
      COORD_FILE_NAME pos.xyz
      COORD_FILE_FORMAT XYZ
    &END TOPOLOGY
    &CELL
      ABC 50.0 50.0 50.0
      PERIODIC NONE
    &END CELL
    &KIND H
      DFTB3_PARAM -0.1857
    &END KIND
    &KIND O
      DFTB3_PARAM -0.1575
    &END KIND
  &END SUBSYS
&END FORCE_EVAL

&MOTION
  &DRIVER
    UNIX TRUE
    HOST myunixsocket
    PORT 31415
  &END DRIVER
&END MOTION
``` 

and the corresponding i-PI input is
```
<simulation verbosity='high'>

  <output prefix='water-test'>
    <properties stride='1' filename='out'>
      [step, time{picosecond}, conserved, temperature{kelvin}, potential]
    </properties>
    <properties stride='100' filename='ke'>
      [step, kinetic_td, kinetic_cv, kinetic_td(H), kinetic_cv(H), kinetic_td(O), kinetic_cv(O)]
    </properties>
    <checkpoint overwrite='false' stride='10000' filename='checkpoint'/>
    <trajectory cell_units='angstrom' stride='10' filename='positions'> positions{angstrom} </trajectory>
    <trajectory cell_units='angstrom' stride='100' filename='velocities'> velocities </trajectory>
    <trajectory cell_units='angstrom' stride='10' filename='positions-centroid'> x_centroid{angstrom} </trajectory>
    <trajectory cell_units='angstrom' stride='100' filename='velocities-centroid'> v_centroid </trajectory>
    <trajectory cell_units='angstrom' stride='100' filename='ke-atoms'> kinetic_cv </trajectory>
    <trajectory cell_units='angstrom' stride='100' filename='ke-atoms-od'> kinetic_od </trajectory>
    <trajectory cell_units='angstrom' stride='100' filename='forces'> forces </trajectory>
  </output>

  <total_steps>20000</total_steps>

  <ffsocket mode='unix' name='dftb'>
    <address>myunixsocket</address>
    <timeout>1500</timeout>
    <port>31415</port>
  </ffsocket>

  <system>
    <initialize nbeads='1'>
      <file mode=""xyz"" units=""angstrom"">pos.xyz</file>
      <cell units=""angstrom"">[50., 0.0, 0.0,
              0.0, 50., 0.0,
              0.0, 0.0, 50.]</cell>
      <velocities mode='thermal' units='kelvin'>300</velocities>
    </initialize>
    <forces>
      <force forcefield='dftb'  nbeads='1'></force>
    </forces>
    <motion mode='dynamics'>
      <dynamics mode='nvt'>
        <thermostat mode='pile_l'>
          <tau units=""femtosecond"">100</tau>
        </thermostat>
        <timestep units=""femtosecond"">0.5</timestep>
      </dynamics>
    </motion>
    <ensemble>
      <temperature units='kelvin'>300.0</temperature>
    </ensemble>
  </system>
</simulation>
```",[],2025-01-22T12:18:21Z,2025-01-24T15:57:45Z,,krystofbrezina,tried run simulations ipi using cpk force client ran problems newest versions tried local cluster parallel build module available precompiled binary precompiled binary lead error error opening unix socket path unavailable already existing file directory running input files cpk version works smoothly put together mwe single water molecule simulation dftb level reproduces error cpk input follows global project water preferredfftlibrary fftw fftwplantype measure runtype driver printlevel low end global forceeval dft charge qs method dftb dftb diagonaldftb hbsrgamma parameter paramfilepath ob paramfilename sccparameter hbsrparam end parameter end dftb extrapolationorder end qs scf maxscf epsscf e scfguess atomic mixing end print restart end restart end print end scf poisson periodic none poissonsolver wavelet end poisson end dft subsys topology coordfilename posxyz coordfileformat xyz end topology cell abc periodic none end cell kind h dftbparam end kind kind dftbparam end kind end subsys end forceeval motion driver unix true host myunixsocket port end driver end motion corresponding ipi input step timepicosecond conserved temperaturekelvin potential step kinetictd kineticcv kinetictdh kineticcvh kinetictdo kineticcvo positionsangstrom velocities xcentroidangstrom vcentroid kineticcv kineticod forces myunixsocket posxyz,0
,,,issue,3883.0,Efield implementation for xTB,closed,https://github.com/cp2k/cp2k/pull/3883,"Missing functionality:
- Stress tensor for gfn0-xTB
- Displacement fields",[],2025-01-22T09:18:04Z,2025-01-22T13:18:16Z,2025-01-22T13:18:16Z,juerghutter,missing functionality stress tensor gfnxtb displacement fields,0
,,,issue,3882.0,Dashboard: Add weekly intel-ssmp tester,closed,https://github.com/cp2k/cp2k/pull/3882,,[],2025-01-21T21:03:47Z,2025-01-21T21:20:12Z,2025-01-21T21:20:12Z,oschuett,,0
,,,issue,3881.0,cp_fm_struct - Fix for small matrices,closed,https://github.com/cp2k/cp2k/pull/3881,"## Introduction

I initially observed that regtests in `QS/regtest-scalable-gw` started to fail on my local machine after commit e7c81ba798 . I recognized that I run the regtests with 4 mpiranks and 1 ompthread, while the CI runs the tests with 2 mpiranks and 2 ompthread. After trying to run the regtests on local machine again with 2x2 (mpiranks x ompthreads), the test succeeded, so I recognized that the distribution of some tasks to the mpiranks probably contains an error.

## Error statement and fix

After consultation with @JWilhelm and @RemiPasquier , we deduced that the determination of the maximum number of rows/columns in a blacs block contains the source of the error - there was a change in this determination in e7c81ba798 which introduced this error. @RemiPasquier mentioned this on the pull request and I am now presenting the solution we arrived at independently. We believe that the maximum number of rows/columns in a blacs block should not be essentially the entire matrix, as this leads to some ranks containing zero local data. The following change restores previous behaviour (while hopefully still allowing for setting the block size to vector length vlen introduced in e7c81ba798)
```
diff --git a/src/fm/cp_fm_struct.F b/src/fm/cp_fm_struct.F
index 4e1cc2238e..ed67078ccd 100644
--- a/src/fm/cp_fm_struct.F
+++ b/src/fm/cp_fm_struct.F
@@ -205,7 +205,7 @@ CONTAINS
       IF (.NOT. my_force_block) THEN
          vlen = m_cpuid_vlen()
          nmax_block = (fmstruct%nrow_global + fmstruct%context%num_pe(1) - 1)/ &
-                      (fmstruct%context%num_pe(1))*fmstruct%context%num_pe(1)
+                      (fmstruct%context%num_pe(1))
          IF (1 < vlen) THEN ! flooring not ceiling (OOB)
             fmstruct%nrow_block = fmstruct%nrow_block/vlen*vlen
             nmax_block = nmax_block/vlen*vlen
@@ -213,7 +213,7 @@ CONTAINS
          fmstruct%nrow_block = MAX(MIN(fmstruct%nrow_block, nmax_block), 1)
 
          nmax_block = (fmstruct%ncol_global + fmstruct%context%num_pe(2) - 1)/ &
-                      (fmstruct%context%num_pe(1))*fmstruct%context%num_pe(2)
+                      (fmstruct%context%num_pe(2))
          IF (1 < vlen) THEN ! flooring not ceiling (OOB)
             fmstruct%ncol_block = fmstruct%ncol_block/vlen*vlen
             nmax_block = nmax_block/vlen*vlen

```

## Error showcase

To show a specific error case, feel free to apply the following patch to current master and run the above mentioned part of the regtests
```
diff --git a/src/gw_large_cell_gamma.F b/src/gw_large_cell_gamma.F
index 1f3dd7d334..ce3a460c01 100644
--- a/src/gw_large_cell_gamma.F
+++ b/src/gw_large_cell_gamma.F
@@ -65,7 +65,8 @@ MODULE gw_large_cell_gamma
                                               int_8
    USE kpoint_coulomb_2c,               ONLY: build_2c_coulomb_matrix_kp
    USE kpoint_types,                    ONLY: kpoint_type
-   USE machine,                         ONLY: m_walltime
+   USE machine,                         ONLY: m_walltime, &
+                                              m_cpuid_vlen
    USE mathconstants,                   ONLY: twopi,&
                                               z_one,&
                                               z_zero
@@ -2290,10 +2291,19 @@ CONTAINS
             ! 2. get S_µν(k_i) from S_µν(k=0)
             CALL cfm_ikp_from_fm_Gamma(cfm_s_ikp, bs_env%fm_s_Gamma, &
                                        ikp, qs_env, bs_env%kpoints_DOS, ""ORB"")
+            PRINT *, ""cpuid_vlen"", m_cpuid_vlen()
+            PRINT *, ""cart. position"", cfm_ks_ikp%matrix_struct%context%mepos(1), &
+                    cfm_ks_ikp%matrix_struct%context%mepos(2), &
+                    ""local_data size"", &
+                    cfm_ks_ikp%matrix_struct%nrow_locals(cfm_ks_ikp%matrix_struct%context%mepos(1)), &
+                    cfm_ks_ikp%matrix_struct%ncol_locals(cfm_ks_ikp%matrix_struct%context%mepos(2))
 
             ! 3. Diagonalize (Roothaan-Hall): H_KS(k_i)*C(k_i) = S(k_i)*C(k_i)*ϵ(k_i)
             CALL cp_cfm_geeig(cfm_ks_ikp, cfm_s_ikp, cfm_mos_ikp, &
                               bs_env%eigenval_scf(:, ikp, ispin), cfm_work_ikp)
+            PRINT *, cfm_ks_ikp%matrix_struct%context%mepos(1), &
+                    cfm_ks_ikp%matrix_struct%context%mepos(2), &
+                    bs_env%eigenval_scf(:, ikp, ispin)
 
             ! 4. V^xc_µν(k=0) -> V^xc_µν(k_i) -> V^xc_nn(k_i)
             CALL to_ikp_and_mo(V_xc_ikp_n, bs_env%fm_V_xc_Gamma(ispin), &
```

(you can use `cd tests && ./do_regtest.py --mpiranks 4 --ompthreads 1 --workbasedir ../regtesting --restrictdir QS/regtest-scalable-gw` + cp2k architecture and version to run the regtest)

This patch prints the distribution of a complex Hamiltonian matrix used in the GW workflow, and the Hamiltonian eigenvalues. At the current master, the print produces something similar to this for `01_G0W0_periodic_H2O.inp`
```
...
 cpuid_vlen           4
 cart. position           1           1 local_data size           0           0
           1           1  0.64524113528718785       0.92805880329027735       0.77797094839274550       ...
 Sparsity of Σ^c(iτ,k=0): Percentage of skipped atom pairs:                0.0 %
 cpuid_vlen           4
 cart. position           0           0 local_data size          23          23
           0           0 -0.86279915637516102      -0.43417956913078526      -0.29319700876391425      ...
 cpuid_vlen           4
 cart. position           0           1 local_data size          23           0
           0           1  0.64524113528718785       0.92805880329027735       0.77797094839274550       ...
 cpuid_vlen           4
 cart. position           1           0 local_data size           0          23
           1           0  0.64524113528718785       0.92805880329027735       0.77797094839274550       ...
...
```

As you can see, ranks at (0,1), (1,0) and (1,1) have at least one size of local_data zero, i.e. they do not contain any data - all data is stored on the rank (0,0). This leads to an error in `cp_cfm_geeig` - the ranks which have empty local data now contain invalid eigenvalues array, which then propagates to other parts of the code.

## Escaping regtesting

Curiously enough, I suspect that this bug would have been caught by the regtesting if the tests ran with at least one other mpiranks combination other than 2 ranks. By a (un)lucky coincidence, the original code used two different numbers in the flooring procedure of the block size (`(fmstruct%context%num_pe(1))*fmstruct%context%num_pe(2)` instead of `(fmstruct%context%num_pe(2))*fmstruct%context%num_pe(2)`) which in the specific 2 rank case leads to correctly setting the blocks such that both contain approximately equal data. Therefore, in the case of 2 mpiranks, this error was not caught by the regtesting.

Indeed, after rerunning the patch print mentioned above in 2x2 setup, the distributions are reasonable and the eigenvalues are identical on both ranks (again , `01_G0W0_periodic_H2O.inp` calculation)
```
...
 Sparsity of Σ^c(iτ,k=0): Percentage of skipped atom pairs:                0.0 %
 cpuid_vlen           4
 cart. position           0           0 local_data size          15          23
           1           0 -0.86279915637515936      -0.43417956913078576      -0.29319700876391325      ...   
 cpuid_vlen           4
 cart. position           1           0 local_data size           8          23
           0           0 -0.86279915637515936      -0.43417956913078576      -0.29319700876391325      ... 
...
```",[],2025-01-21T17:06:48Z,2025-01-22T10:46:08Z,2025-01-22T10:46:08Z,StepanMarek,introduction initially observed regtests qsregtestscalablegw started fail local machine commit ecba recognized run regtests mpiranks ompthread ci runs tests mpiranks ompthread trying run regtests local machine x mpiranks x ompthreads test succeeded recognized distribution tasks mpiranks probably contains error error statement fix consultation jwilhelm remipasquier deduced determination maximum number rowscolumns blacs block contains source error change determination ecba introduced error remipasquier mentioned pull request presenting solution arrived independently believe maximum number rowscolumns blacs block essentially entire matrix leads ranks containing zero local data following change restores previous behaviour hopefully still allowing setting block size vector length vlen introduced ecba diff git asrcfmcpfmstructf bsrcfmcpfmstructf index ecceedccd asrcfmcpfmstructf bsrcfmcpfmstructf contains myforceblock vlen mcpuidvlen nmaxblock fmstructnrowglobal fmstructcontextnumpe fmstructcontextnumpefmstructcontextnumpe fmstructcontextnumpe vlen flooring ceiling oob fmstructnrowblock fmstructnrowblockvlenvlen nmaxblock nmaxblockvlenvlen contains fmstructnrowblock maxminfmstructnrowblock nmaxblock nmaxblock fmstructncolglobal fmstructcontextnumpe fmstructcontextnumpefmstructcontextnumpe fmstructcontextnumpe vlen flooring ceiling oob fmstructncolblock fmstructncolblockvlenvlen nmaxblock nmaxblockvlenvlen error showcase show specific error case feel free apply following patch current master run mentioned part regtests diff git asrcgwlargecellgammaf bsrcgwlargecellgammaf index fdddceac asrcgwlargecellgammaf bsrcgwlargecellgammaf module gwlargecellgamma int use kpointcoulombc buildccoulombmatrixkp use kpointtypes kpointtype use machine mwalltime use machine mwalltime mcpuidvlen use mathconstants twopi zone zzero contains get ski sk call cfmikpfromfmgammacfmsikp bsenvfmsgamma ikp qsenv bsenvkpointsdos orb print cpuidvlen mcpuidvlen print cart position cfmksikpmatrixstructcontextmepos cfmksikpmatrixstructcontextmepos localdata size cfmksikpmatrixstructnrowlocalscfmksikpmatrixstructcontextmepos cfmksikpmatrixstructncollocalscfmksikpmatrixstructcontextmepos diagonalize roothaanhall hkskicki skickiki call cpcfmgeeigcfmksikp cfmsikp cfmmosikp bsenveigenvalscf ikp ispin cfmworkikp print cfmksikpmatrixstructcontextmepos cfmksikpmatrixstructcontextmepos bsenveigenvalscf ikp ispin vxck vxcki vxcnnki call toikpandmovxcikpn bsenvfmvxcgammaispin use cd tests doregtestpy mpiranks ompthreads workbasedir regtesting restrictdir qsregtestscalablegw cpk architecture version run regtest patch prints distribution complex hamiltonian matrix used gw workflow hamiltonian eigenvalues current master print produces something similar gwperiodichoinp cpuidvlen cart position localdata size sparsity cik percentage skipped atom pairs cpuidvlen cart position localdata size cpuidvlen cart position localdata size cpuidvlen cart position localdata size see ranks least one size localdata zero ie contain data data stored rank leads error cpcfmgeeig ranks empty local data contain invalid eigenvalues array propagates parts code escaping regtesting curiously enough suspect bug would caught regtesting tests ran least one mpiranks combination ranks unlucky coincidence original code used two different numbers flooring procedure block size fmstructcontextnumpefmstructcontextnumpe instead fmstructcontextnumpefmstructcontextnumpe specific rank case leads correctly setting blocks contain approximately equal data therefore case mpiranks error caught regtesting indeed rerunning patch print mentioned x setup distributions reasonable eigenvalues identical ranks gwperiodichoinp calculation sparsity cik percentage skipped atom pairs cpuidvlen cart position localdata size cpuidvlen cart position localdata size,0
